date,count
2021-01-01,1918
2021-01-02,3192
2021-01-03,1458
2021-01-04,3592
2021-01-05,3474
2021-01-06,3518
2021-01-07,3639
2021-01-08,3254
2021-01-09,3479
2021-01-10,1335
2021-01-11,3495
2021-01-12,2679
2021-01-13,2136
2021-01-14,1412
2021-01-15,2407
2021-01-16,2837
2021-01-17,1312
2021-01-18,4094
2021-01-19,4144
2021-01-20,4082
2021-01-21,3955
2021-01-22,3733
2021-01-23,3747
2021-01-24,1502
2021-01-25,3740
2021-01-26,4238
2021-01-27,3394
2021-01-28,3774
2021-01-29,3545
2021-01-30,3500
2021-01-31,1724
2021-02-01,4051
2021-02-02,4430
2021-02-03,4123
2021-02-04,4118
2021-02-05,4125
2021-02-06,3971
2021-02-07,1727
2021-02-08,4293
2021-02-09,4378
2021-02-10,4053
2021-02-11,3823
2021-02-12,3798
2021-02-13,3880
2021-02-14,1712
2021-02-15,3911
2021-02-16,4342
2021-02-17,4174
2021-02-18,4404
2021-02-19,3771
2021-02-20,3802
2021-02-21,1811
2021-02-22,4266
2021-02-23,4058
2021-02-24,3950
2021-02-25,3484
2021-02-26,3494
2021-02-27,3522
2021-02-28,1663
2021-03-01,4498
2021-03-02,4418
2021-03-03,4354
2021-03-04,4767
2021-03-05,4239
2021-03-06,4168
2021-03-07,1593
2021-03-08,4630
2021-03-09,4332
2021-03-10,4125
2021-03-11,3598
2021-03-12,3526
2021-03-13,3907
2021-03-14,1591
2021-03-15,4498
2021-03-16,4796
2021-03-17,4619
2021-03-18,4992
2021-03-19,4449
2021-03-20,4270
2021-03-21,1687
2021-03-22,4883
2021-03-23,4702
2021-03-24,4226
2021-03-25,4882
2021-03-26,4203
2021-03-27,3884
2021-03-28,1702
2021-03-29,4365
2021-03-30,4178
2021-03-31,4093
2021-04-01,4312
2021-04-02,4442
2021-04-03,3876
2021-04-04,1422
2021-04-05,3773
2021-04-06,2156
2021-04-07,4100
2021-04-08,4657
2021-04-09,4326
2021-04-10,3981
2021-04-11,1487
2021-04-12,4307
2021-04-13,4052
2021-04-14,2565
2021-04-15,3769
2021-04-16,3803
2021-04-17,3385
2021-04-18,1417
2021-04-19,4184
2021-04-20,3742
2021-04-21,3542
2021-04-22,3418
2021-04-23,3267
2021-04-24,2883
2021-04-25,1252
2021-04-26,3036
2021-04-27,3274
2021-04-28,3225
2021-04-29,3268
2021-04-30,3074
2021-05-01,2306
2021-05-02,1253
2021-05-03,2602
2021-05-04,2965
2021-05-05,3124
2021-05-06,2566
2021-05-07,2494
2021-05-08,2476
2021-05-09,1313
2021-05-10,1777
2021-05-11,1756
2021-05-12,1766
2021-05-13,1823
2021-05-14,1714
2021-05-15,1700
2021-05-16,1263
2021-05-17,1817
2021-05-18,1789
2021-05-19,1740
2021-05-20,1793
2021-05-21,1826
2021-05-22,1886
2021-05-23,1334
2021-05-24,1823
2021-05-25,1764
2021-05-26,1777
2021-05-27,1774
2021-05-28,1818
2021-05-29,1841
2021-05-30,1307
2021-05-31,2055
2021-06-01,1937
2021-06-02,1966
2021-06-03,1989
2021-06-04,1945
2021-06-05,1937
2021-06-06,1303
2021-06-07,2293
2021-06-08,2306
2021-06-09,2228
2021-06-10,2260
2021-06-11,2287
2021-06-12,2342
2021-06-13,1290
2021-06-14,2434
2021-06-15,2465
2021-06-16,2350
2021-06-17,2522
2021-06-18,2429
2021-06-19,2430
2021-06-20,1306
2021-06-21,2717
2021-06-22,2720
2021-06-23,2491
2021-06-24,2635
2021-06-25,2723
2021-06-26,2688
2021-06-27,1296
2021-06-28,3226
2021-06-29,3575
2021-06-30,3527
2021-07-01,3526
2021-07-02,3369
2021-07-03,3457
2021-07-04,1367
2021-07-05,4081
2021-07-06,4186
2021-07-07,3974
2021-07-08,4133
2021-07-09,3678
2021-07-10,3902
2021-07-11,1437
2021-07-12,4453
2021-07-13,4383
2021-07-14,4053
2021-07-15,4108
2021-07-16,3652
2021-07-17,3543
2021-07-18,1408
2021-07-19,4598
2021-07-20,4286
2021-07-21,4560
2021-07-22,4245
2021-07-23,3915
2021-07-24,4066
2021-07-25,1438
2021-07-26,4690
2021-07-27,4591
2021-07-28,4301
2021-07-29,4364
2021-07-30,3909
2021-07-31,3837
2021-08-01,1538
2021-08-02,4298
2021-08-03,3394
2021-08-04,4504
2021-08-05,4806
2021-08-06,4397
2021-08-07,4118
2021-08-08,1567
2021-08-09,4563
2021-08-10,4554
2021-08-11,4253
2021-08-12,4373
2021-08-13,3909
2021-08-14,4103
2021-08-15,1581
2021-08-16,4515
2021-08-17,4231
2021-08-18,3920
2021-08-19,3732
2021-08-20,3410
2021-08-21,3729
2021-08-22,1543
2021-08-23,4627
2021-08-24,4358
2021-08-25,4131
2021-08-26,4036
2021-08-27,3912
2021-08-28,4275
2021-08-29,1626
2021-08-30,4788
2021-08-31,4112
2021-09-01,3612
2021-09-02,4042
2021-09-03,3720
2021-09-04,3797
2021-09-05,1623
2021-09-06,4031
2021-09-07,3950
2021-09-08,3326
2021-09-09,3216
2021-09-10,3151
2021-09-11,3878
2021-09-12,1650
2021-09-13,4579
2021-09-14,4367
2021-09-15,4023
2021-09-16,3852
2021-09-17,3945
2021-09-18,3986
2021-09-19,1625
2021-09-20,4609
2021-09-21,4594
2021-09-22,4381
2021-09-23,4541
2021-09-24,4035
2021-09-25,4035
2021-09-26,1725
2021-09-27,4408
2021-09-28,4320
2021-09-29,4223
2021-09-30,4321
2021-10-01,3693
2021-10-02,4417
2021-10-03,1678
2021-10-04,4409
2021-10-05,4105
2021-10-06,3755
2021-10-07,3889
2021-10-08,4067
2021-10-09,3841
2021-10-10,1631
2021-10-11,4148
2021-10-12,3869
2021-10-13,3585
2021-10-14,3087
2021-10-15,3901
2021-10-16,3757
2021-10-17,1636
2021-10-18,4289
2021-10-19,4501
2021-10-20,3618
2021-10-21,3682
2021-10-22,3523
2021-10-23,3563
2021-10-24,1645
2021-10-25,3617
2021-10-26,3503
2021-10-27,3359
2021-10-28,3379
2021-10-29,3079
2021-10-30,2834
2021-10-31,1311
2021-11-01,2896
2021-11-02,2425
2021-11-03,1924
2021-11-04,1371
2021-11-05,3519
2021-11-06,4066
2021-11-07,1334
2021-11-08,4104
2021-11-09,3727
2021-11-10,3053
2021-11-11,3522
2021-11-12,3580
2021-11-13,3678
2021-11-14,1491
2021-11-15,3732
2021-11-16,3961
2021-11-17,3667
2021-11-18,3419
2021-11-19,2872
2021-11-20,3572
2021-11-21,1581
2021-11-22,4368
2021-11-23,4094
2021-11-24,3927
2021-11-25,3636
2021-11-26,3254
2021-11-27,3633
2021-11-28,1637
2021-11-29,3819
2021-11-30,3574
2021-12-01,3652
2021-12-02,3726
2021-12-03,3682
2021-12-04,3508
2021-12-05,1620
2021-12-06,4048
2021-12-07,4066
2021-12-08,3872
2021-12-09,3698
2021-12-10,3598
2021-12-11,4209
2021-12-12,1704
2021-12-13,4257
2021-12-14,4272
2021-12-15,4336
2021-12-16,4075
2021-12-17,3978
2021-12-18,4035
2021-12-19,1633
2021-12-20,4517
2021-12-21,4331
2021-12-22,4207
2021-12-23,4271
2021-12-24,3937
2021-12-25,3968
2021-12-26,1629
2021-12-27,4855
2021-12-28,4954
2021-12-29,4849
2021-12-30,4722
2021-12-31,3742
2022-01-01,2064
2022-01-02,1618
2022-01-03,4010
2022-01-04,3981
2022-01-05,3914
2022-01-06,4113
2022-01-07,3735
2022-01-08,3657
2022-01-09,1277
2022-01-10,3572
2022-01-11,3853
2022-01-12,3064
2022-01-13,2402
2022-01-14,1450
2022-01-15,2566
2022-01-16,1271
2022-01-17,4137
2022-01-18,4358
2022-01-19,3840
2022-01-20,3920
2022-01-21,3628
2022-01-22,3495
2022-01-23,1271
2022-01-24,3906
2022-01-25,3844
2022-01-26,3951
2022-01-27,3634
2022-01-28,3635
2022-01-29,3599
2022-01-30,1329
2022-01-31,3762
2022-02-01,3509
2022-02-02,3644
2022-02-03,3786
2022-02-04,3555
2022-02-05,3648
2022-02-06,1396
2022-02-07,4002
2022-02-08,4111
2022-02-09,3797
2022-02-10,3814
2022-02-11,3388
2022-02-12,3952
2022-02-13,1742
2022-02-14,3923
2022-02-15,4231
2022-02-16,3862
2022-02-17,3841
2022-02-18,3999
2022-02-19,3952
2022-02-20,1484
2022-02-21,4825
2022-02-22,4167
2022-02-23,4431
2022-02-24,4421
2022-02-25,4116
2022-02-26,4311
2022-02-27,1706
2022-02-28,4444
2022-03-01,3658
2022-03-02,3973
2022-03-03,4380
2022-03-04,4067
2022-03-05,4242
2022-03-06,1906
2022-03-07,4792
2022-03-08,4957
2022-03-09,4909
2022-03-10,4538
2022-03-11,4481
2022-03-12,4560
2022-03-13,1796
2022-03-14,4498
2022-03-15,4874
2022-03-16,4601
2022-03-17,4429
2022-03-18,4046
2022-03-19,4540
2022-03-20,1824
2022-03-21,4605
2022-03-22,5059
2022-03-23,4920
2022-03-24,4955
2022-03-25,4421
2022-03-26,4326
2022-03-27,1891
2022-03-28,4207
2022-03-29,3895
2022-03-30,4451
2022-03-31,4420
2022-04-01,4057
2022-04-02,4690
2022-04-03,1783
2022-04-04,4375
2022-04-05,4327
2022-04-06,3999
2022-04-07,4462
2022-04-08,4134
2022-04-09,4390
2022-04-10,1742
2022-04-11,4442
2022-04-12,4080
2022-04-13,3959
2022-04-14,2942
2022-04-15,3984
2022-04-16,2730
2022-04-17,1545
2022-04-18,4645
2022-04-19,4833
2022-04-20,4714
2022-04-21,4614
2022-04-22,4287
2022-04-23,4184
2022-04-24,1956
2022-04-25,4606
2022-04-26,4722
2022-04-27,4768
2022-04-28,4364
2022-04-29,3839
2022-04-30,3702
2022-05-01,1751
2022-05-02,4331
2022-05-03,4389
2022-05-04,4334
2022-05-05,4694
2022-05-06,4350
2022-05-07,4223
2022-05-08,1878
2022-05-09,4615
2022-05-10,4555
2022-05-11,4544
2022-05-12,4377
2022-05-13,3960
2022-05-14,4360
2022-05-15,1724
2022-05-16,4843
2022-05-17,4829
2022-05-18,4845
2022-05-19,4744
2022-05-20,4368
2022-05-21,4372
2022-05-22,1818
2022-05-23,5125
2022-05-24,4919
2022-05-25,4760
2022-05-26,4853
2022-05-27,4511
2022-05-28,4361
2022-05-29,1948
2022-05-30,4561
2022-05-31,4240
2022-06-01,3947
2022-06-02,4516
2022-06-03,3900
2022-06-04,4067
2022-06-05,1550
2022-06-06,5059
2022-06-07,4899
2022-06-08,4620
2022-06-09,4198
2022-06-10,4109
2022-06-11,4445
2022-06-12,1902
2022-06-13,4134
2022-06-14,4767
2022-06-15,4804
2022-06-16,4879
2022-06-17,4426
2022-06-18,4763
2022-06-19,1861
2022-06-20,4940
2022-06-21,4931
2022-06-22,4813
2022-06-23,4799
2022-06-24,4585
2022-06-25,4948
2022-06-26,1871
2022-06-27,4679
2022-06-28,4676
2022-06-29,4667
2022-06-30,4649
2022-07-01,4344
2022-07-02,4815
2022-07-03,1911
2022-07-04,4938
2022-07-05,4752
2022-07-06,4835
2022-07-07,4736
2022-07-08,4496
2022-07-09,5079
2022-07-10,1591
2022-07-11,4693
2022-07-12,4844
2022-07-13,4598
2022-07-14,4761
2022-07-15,4468
2022-07-16,4665
2022-07-17,1893
2022-07-18,4856
2022-07-19,4990
2022-07-20,4926
2022-07-21,4724
2022-07-22,4241
2022-07-23,4714
2022-07-24,1960
2022-07-25,4837
2022-07-26,4792
2022-07-27,4609
2022-07-28,3814
2022-07-29,4057
2022-07-30,4649
2022-07-31,1679
2022-08-01,4570
2022-08-02,4295
2022-08-03,3324
2022-08-04,4061
2022-08-05,3551
2022-08-06,4030
2022-08-07,1574
2022-08-08,4823
2022-08-09,5488
2022-08-10,4369
2022-08-11,4396
2022-08-12,4022
2022-08-13,4774
2022-08-14,1799
2022-08-15,4417
2022-08-16,4562
2022-08-17,4484
