date,count,day_of_week,Public Holiday
2021-01-01,1918,Friday,New Year's Day
2021-01-02,3192,Saturday,Working Day
2021-01-03,1458,Sunday,Working Day
2021-01-04,3592,Monday,Working Day
2021-01-05,3474,Tuesday,Working Day
2021-01-06,3518,Wednesday,Working Day
2021-01-07,3639,Thursday,Working Day
2021-01-08,3254,Friday,Working Day
2021-01-09,3479,Saturday,Working Day
2021-01-10,1335,Sunday,Working Day
2021-01-11,3495,Monday,Working Day
2021-01-12,2679,Tuesday,Working Day
2021-01-13,2136,Wednesday,Working Day
2021-01-14,1412,Thursday,Pongal
2021-01-15,2407,Friday,Thiruvalluvar Day
2021-01-16,2837,Saturday,Uzhavar Thirunal
2021-01-17,1312,Sunday,Working Day
2021-01-18,4094,Monday,Working Day
2021-01-19,4144,Tuesday,Working Day
2021-01-20,4082,Wednesday,Working Day
2021-01-21,3955,Thursday,Working Day
2021-01-22,3733,Friday,Working Day
2021-01-23,3747,Saturday,Working Day
2021-01-24,1502,Sunday,Working Day
2021-01-25,3740,Monday,Working Day
2021-01-26,4238,Tuesday,Republic Day
2021-01-27,3394,Wednesday,Working Day
2021-01-28,3774,Thursday,Working Day
2021-01-29,3545,Friday,Working Day
2021-01-30,3500,Saturday,Working Day
2021-01-31,1724,Sunday,Working Day
2021-02-01,4051,Monday,Working Day
2021-02-02,4430,Tuesday,Working Day
2021-02-03,4123,Wednesday,Working Day
2021-02-04,4118,Thursday,Working Day
2021-02-05,4125,Friday,Working Day
2021-02-06,3971,Saturday,Working Day
2021-02-07,1727,Sunday,Working Day
2021-02-08,4293,Monday,Working Day
2021-02-09,4378,Tuesday,Working Day
2021-02-10,4053,Wednesday,Working Day
2021-02-11,3823,Thursday,Working Day
2021-02-12,3798,Friday,Working Day
2021-02-13,3880,Saturday,Working Day
2021-02-14,1712,Sunday,Working Day
2021-02-15,3911,Monday,Working Day
2021-02-16,4342,Tuesday,Working Day
2021-02-17,4174,Wednesday,Working Day
2021-02-18,4404,Thursday,Working Day
2021-02-19,3771,Friday,Working Day
2021-02-20,3802,Saturday,Working Day
2021-02-21,1811,Sunday,Working Day
2021-02-22,4266,Monday,Working Day
2021-02-23,4058,Tuesday,Working Day
2021-02-24,3950,Wednesday,Working Day
2021-02-25,3484,Thursday,Working Day
2021-02-26,3494,Friday,Working Day
2021-02-27,3522,Saturday,Working Day
2021-02-28,1663,Sunday,Working Day
2021-03-01,4498,Monday,Working Day
2021-03-02,4418,Tuesday,Working Day
2021-03-03,4354,Wednesday,Working Day
2021-03-04,4767,Thursday,Working Day
2021-03-05,4239,Friday,Working Day
2021-03-06,4168,Saturday,Working Day
2021-03-07,1593,Sunday,Working Day
2021-03-08,4630,Monday,Working Day
2021-03-09,4332,Tuesday,Working Day
2021-03-10,4125,Wednesday,Working Day
2021-03-11,3598,Thursday,Working Day
2021-03-12,3526,Friday,Working Day
2021-03-13,3907,Saturday,Working Day
2021-03-14,1591,Sunday,Working Day
2021-03-15,4498,Monday,Working Day
2021-03-16,4796,Tuesday,Working Day
2021-03-17,4619,Wednesday,Working Day
2021-03-18,4992,Thursday,Working Day
2021-03-19,4449,Friday,Working Day
